�Ͻ�,��ձ��,�������,�ְ����,�ϰ�����(mm),�ִ� ǳ��(m/s),��� ǳ��(m/s),�ּ� ������(%),��� ������(%),��� �������(hPa),��� �ظ���(hPa),�հ� �����ð�(hr),�հ� �ϻ緮(MJ/m2),��� ���(1/10),��� ����µ�,1���� ��� ��ü��,2���� ��� ��ü��,3���� ��� ��ü��,��� ��ü��
2017-05-23,20.0 ,17.2 ,24.4 ,5.0 ,4.4 ,1.9 ,46.0 ,68.0 ,1000.6 ,1010.5 ,2.4 ,11.7 ,9.1 ,23.6 ,2064 ,2116 ,2086 ,2099 
2017-05-24,21.8 ,16.9 ,27.8 ,0.1 ,4.6 ,2.0 ,31.0 ,60.4 ,998.0 ,1007.9 ,12.7 ,25.0 ,2.9 ,27.0 ,2099 ,2064 ,2116 ,1882 
2017-05-25,19.2 ,14.4 ,24.4 ,0.0 ,7.0 ,3.4 ,14.0 ,45.6 ,994.9 ,1004.9 ,12.8 ,24.3 ,0.9 ,25.9 ,1882 ,2099 ,2064 ,3017 
2017-05-26,17.7 ,12.4 ,23.2 ,0.0 ,5.3 ,2.9 ,25.0 ,41.5 ,997.7 ,1007.7 ,11.3 ,25.3 ,1.9 ,26.1 ,3017 ,1882 ,2099 ,1921 
2017-05-27,19.5 ,13.7 ,26.4 ,0.0 ,4.9 ,2.2 ,24.0 ,46.1 ,1001.7 ,1011.7 ,13.5 ,27.0 ,0.1 ,28.4 ,1921 ,3017 ,1882 ,2161 
2017-05-28,21.2 ,14.4 ,27.9 ,0.0 ,5.4 ,2.7 ,25.0 ,50.6 ,1001.4 ,1011.3 ,11.2 ,23.6 ,1.0 ,28.3 ,2161 ,1921 ,3017 ,2142 
2017-05-29,22.9 ,18.1 ,29.3 ,0.0 ,5.3 ,2.3 ,39.0 ,61.8 ,1001.7 ,1011.6 ,9.7 ,22.3 ,4.6 ,29.8 ,2142 ,2161 ,1921 ,2293 
2017-05-30,23.6 ,18.6 ,30.3 ,0.0 ,5.4 ,2.4 ,7.0 ,43.5 ,999.4 ,1009.2 ,11.1 ,21.3 ,6.0 ,29.1 ,2293 ,2142 ,2161 ,2520 
2017-05-31,23.3 ,17.7 ,29.6 ,0.0 ,4.8 ,1.9 ,22.0 ,49.1 ,992.9 ,1002.7 ,10.2 ,20.1 ,5.4 ,30.7 ,2520 ,2293 ,2142 ,2131 
2017-06-01,23.3 ,20.0 ,27.0 ,0.0 ,6.2 ,3.1 ,24.0 ,51.8 ,989.2 ,998.9 ,10.6 ,21.8 ,4.3 ,31.4 ,2131 ,2520 ,2293 ,2081 
2017-06-02,20.5 ,15.5 ,25.6 ,0.0 ,5.2 ,2.8 ,20.0 ,37.4 ,994.0 ,1003.9 ,12.2 ,25.7 ,3.1 ,29.1 ,2081 ,2131 ,2520 ,2317 
2017-06-03,20.5 ,16.1 ,26.5 ,0.0 ,6.2 ,3.0 ,24.0 ,44.0 ,997.5 ,1007.4 ,13.5 ,27.9 ,1.9 ,31.2 ,2317 ,2081 ,2131 ,1948 
2017-06-04,21.7 ,15.1 ,28.1 ,0.0 ,5.6 ,2.6 ,19.0 ,36.9 ,1001.4 ,1011.3 ,13.6 ,27.5 ,1.8 ,30.3 ,1948 ,2317 ,2081 ,2043 
2017-06-05,24.2 ,16.4 ,30.3 ,0.0 ,4.0 ,1.9 ,18.0 ,33.3 ,1004.5 ,1014.3 ,12.9 ,26.6 ,4.9 ,32.8 ,2043 ,1948 ,2317 ,2206 
2017-06-06,19.4 ,14.5 ,23.9 ,15.5 ,5.0 ,2.5 ,36.0 ,60.0 ,1002.6 ,1012.6 ,0.0 ,7.4 ,9.8 ,21.6 ,2206 ,2043 ,1948 ,2360 
2017-06-07,17.6 ,15.1 ,19.2 ,12.5 ,4.6 ,2.4 ,78.0 ,91.4 ,994.7 ,1004.7 ,0.2 ,3.5 ,8.8 ,17.8 ,2360 ,2206 ,2043 ,1292 
2017-06-08,20.1 ,15.1 ,25.9 ,0.0 ,5.5 ,2.8 ,38.0 ,67.3 ,999.7 ,1009.6 ,11.8 ,25.6 ,3.9 ,23.1 ,1292 ,2360 ,2206 ,1722 
2017-06-09,21.2 ,17.9 ,25.7 ,0.1 ,6.4 ,3.3 ,50.0 ,69.8 ,996.8 ,1006.6 ,7.4 ,16.7 ,6.9 ,23.8 ,1722 ,1292 ,2360 ,2427 
2017-06-10,21.5 ,16.7 ,27.5 ,4.5 ,4.0 ,2.3 ,14.0 ,46.8 ,996.9 ,1006.7 ,9.8 ,24.3 ,6.9 ,22.4 ,2427 ,1722 ,1292 ,2442 
2017-06-11,22.8 ,14.8 ,29.6 ,0.0 ,5.5 ,2.2 ,17.0 ,33.8 ,998.3 ,1008.1 ,13.7 ,28.5 ,1.0 ,26.8 ,2442 ,2427 ,1722 ,2613 
2017-06-12,22.1 ,17.0 ,28.0 ,0.0 ,4.9 ,2.8 ,25.0 ,45.5 ,1004.1 ,1014.0 ,12.2 ,24.2 ,4.9 ,27.0 ,2613 ,2442 ,2427 ,2792 
2017-06-13,21.5 ,18.3 ,25.9 ,0.0 ,6.1 ,2.4 ,44.0 ,63.0 ,1004.1 ,1014.0 ,10.3 ,21.3 ,7.0 ,28.7 ,2792 ,2613 ,2442 ,2697 
2017-06-14,21.8 ,17.8 ,26.8 ,0.0 ,5.4 ,2.8 ,38.0 ,63.0 ,1000.8 ,1010.7 ,11.9 ,25.3 ,1.6 ,30.1 ,2697 ,2792 ,2613 ,2558 
2017-06-15,23.1 ,18.0 ,29.6 ,0.0 ,5.4 ,2.5 ,30.0 ,62.4 ,998.1 ,1007.9 ,11.4 ,24.8 ,1.5 ,30.5 ,2558 ,2697 ,2792 ,2986 
2017-06-16,25.5 ,20.0 ,32.7 ,0.0 ,4.6 ,2.2 ,31.0 ,55.8 ,999.3 ,1009.0 ,11.9 ,24.1 ,1.3 ,32.5 ,2986 ,2558 ,2697 ,3272 
2017-06-17,24.2 ,20.6 ,29.9 ,0.0 ,5.0 ,2.4 ,30.0 ,52.3 ,1000.5 ,1010.3 ,12.7 ,24.5 ,0.0 ,32.2 ,3272 ,2986 ,2558 ,3714 
2017-06-18,24.3 ,18.6 ,31.8 ,0.0 ,5.3 ,2.3 ,25.0 ,52.0 ,1000.2 ,1010.0 ,13.2 ,26.0 ,0.8 ,32.4 ,3714 ,3272 ,2986 ,3480 
2017-06-19,24.8 ,19.5 ,30.2 ,0.0 ,4.2 ,1.8 ,27.0 ,50.9 ,999.4 ,1009.2 ,11.0 ,21.0 ,5.6 ,30.4 ,3480 ,3714 ,3272 ,3947 
2017-06-20,26.0 ,20.0 ,32.7 ,0.0 ,5.0 ,2.1 ,26.0 ,43.4 ,995.0 ,1004.7 ,7.9 ,18.8 ,6.6 ,30.3 ,3947 ,3480 ,3714 ,3931 
2017-06-21,25.4 ,21.7 ,31.6 ,0.0 ,6.3 ,2.9 ,30.0 ,52.6 ,995.6 ,1005.2 ,11.1 ,23.5 ,3.0 ,34.0 ,3931 ,3947 ,3480 ,3969 
2017-06-22,25.3 ,21.2 ,30.4 ,0.0 ,4.9 ,2.5 ,36.0 ,57.3 ,998.7 ,1008.4 ,10.8 ,23.5 ,3.9 ,34.8 ,3969 ,3931 ,3947 ,4069 
2017-06-23,26.7 ,21.3 ,34.1 ,0.0 ,5.7 ,2.0 ,25.0 ,53.0 ,996.2 ,1005.8 ,12.9 ,22.8 ,4.1 ,34.6 ,4069 ,3969 ,3931 ,4666 
2017-06-24,24.5 ,21.5 ,27.8 ,3.5 ,5.2 ,1.2 ,40.0 ,60.4 ,993.3 ,1003.0 ,0.8 ,7.2 ,9.5 ,26.3 ,4666 ,4069 ,3969 ,5131 
2017-06-25,23.8 ,21.0 ,28.4 ,1.5 ,3.6 ,1.5 ,48.0 ,75.4 ,992.6 ,1002.3 ,4.6 ,13.0 ,7.1 ,24.4 ,5131 ,4666 ,4069 ,4714 
2017-06-26,23.1 ,20.1 ,29.9 ,29.0 ,6.4 ,2.2 ,43.0 ,76.9 ,997.3 ,1007.0 ,4.9 ,14.3 ,8.8 ,24.5 ,4714 ,5131 ,4666 ,5298 
2017-06-27,25.2 ,20.8 ,30.5 ,0.0 ,4.3 ,2.2 ,44.0 ,67.5 ,999.7 ,1009.5 ,7.8 ,18.3 ,6.4 ,27.3 ,5298 ,4714 ,5131 ,5862 
2017-06-28,26.0 ,22.5 ,30.5 ,0.0 ,4.6 ,2.1 ,44.0 ,63.5 ,1001.9 ,1011.6 ,6.9 ,16.7 ,6.1 ,27.0 ,5862 ,5298 ,4714 ,6250 
2017-06-29,26.2 ,21.9 ,31.5 ,0.0 ,4.7 ,2.2 ,40.0 ,64.8 ,1001.1 ,1010.8 ,9.5 ,21.1 ,3.8 ,29.5 ,6250 ,5862 ,5298 ,6136 
2017-06-30,25.9 ,22.2 ,30.9 ,0.0 ,4.3 ,2.2 ,40.0 ,65.9 ,998.2 ,1007.9 ,7.7 ,19.5 ,4.9 ,31.4 ,6136 ,6250 ,5862 ,6007 
2017-07-01,25.3 ,22.4 ,30.7 ,0.5 ,4.6 ,2.0 ,45.0 ,73.6 ,997.4 ,1007.2 ,3.4 ,13.9 ,9.4 ,30.5 ,6007 ,6136 ,6250 ,6183 
2017-07-02,24.3 ,21.9 ,26.8 ,92.0 ,7.3 ,2.5 ,81.0 ,90.5 ,996.8 ,1006.6 ,0.0 ,5.5 ,10.0 ,24.7 ,6183 ,6007 ,6136 ,6681 
2017-07-03,24.7 ,21.9 ,27.4 ,67.5 ,6.2 ,3.5 ,69.0 ,87.6 ,995.7 ,1005.4 ,2.0 ,9.2 ,9.9 ,25.1 ,6681 ,6183 ,6007 ,5803 
2017-07-04,26.7 ,23.8 ,31.6 ,0.5 ,4.9 ,2.0 ,51.0 ,74.5 ,996.0 ,1005.6 ,9.4 ,19.7 ,6.5 ,28.3 ,5803 ,6681 ,6183 ,6094 
2017-07-05,27.4 ,23.3 ,32.6 ,0.0 ,4.1 ,1.5 ,43.0 ,66.9 ,1000.0 ,1009.6 ,7.8 ,18.4 ,4.8 ,27.2 ,6094 ,5803 ,6681 ,5489 
2017-07-06,27.6 ,23.9 ,34.6 ,34.0 ,5.3 ,1.7 ,39.0 ,72.3 ,1000.1 ,1009.7 ,8.3 ,19.1 ,7.1 ,31.1 ,5489 ,6094 ,5803 ,4774 
2017-07-07,26.4 ,24.4 ,28.4 ,16.5 ,4.8 ,2.0 ,70.0 ,80.8 ,997.7 ,1007.4 ,1.0 ,6.3 ,9.5 ,26.4 ,4774 ,5489 ,6094 ,4894 
2017-07-08,26.0 ,24.6 ,27.6 ,4.5 ,5.0 ,2.6 ,76.0 ,83.3 ,996.5 ,1006.2 ,0.1 ,4.7 ,9.9 ,25.9 ,4894 ,4774 ,5489 ,3999 
2017-07-09,26.3 ,23.8 ,30.3 ,32.5 ,3.1 ,1.0 ,66.0 ,88.0 ,996.3 ,1006.0 ,1.6 ,9.3 ,9.6 ,27.4 ,3999 ,4894 ,4774 ,4588 
2017-07-10,24.0 ,22.6 ,25.4 ,144.5 ,5.9 ,2.3 ,88.0 ,96.5 ,991.1 ,1000.8 ,0.0 ,2.0 ,10.0 ,24.4 ,4588 ,3999 ,4894 ,3794 
2017-07-11,26.0 ,22.2 ,30.9 ,1.0 ,4.4 ,2.1 ,54.0 ,81.4 ,997.2 ,1006.9 ,5.6 ,13.9 ,8.8 ,27.2 ,3794 ,4588 ,3999 ,2140 
2017-07-12,27.1 ,24.9 ,31.1 ,0.0 ,4.6 ,2.3 ,54.0 ,75.9 ,1000.2 ,1009.9 ,7.7 ,17.0 ,6.1 ,29.2 ,2140 ,3794 ,4588 ,3291 
2017-07-13,27.6 ,23.1 ,32.1 ,0.0 ,4.0 ,1.5 ,51.0 ,71.0 ,998.0 ,1007.6 ,9.2 ,19.2 ,2.6 ,29.2 ,3291 ,2140 ,3794 ,3067 
2017-07-14,28.7 ,26.1 ,33.0 ,0.0 ,6.0 ,2.1 ,49.0 ,68.4 ,998.0 ,1007.6 ,6.6 ,16.0 ,7.0 ,30.7 ,3067 ,3291 ,2140 ,3928 
2017-07-15,25.0 ,23.4 ,27.3 ,42.5 ,5.2 ,2.2 ,75.0 ,89.0 ,999.5 ,1009.2 ,0.5 ,5.7 ,10.0 ,25.7 ,3928 ,3067 ,3291 ,4552 
2017-07-16,26.2 ,23.4 ,28.8 ,22.5 ,4.3 ,1.4 ,64.0 ,83.4 ,1001.8 ,1011.5 ,0.9 ,10.5 ,9.4 ,27.1 ,4552 ,3928 ,3067 ,4428 
2017-07-17,26.8 ,24.0 ,29.0 ,7.5 ,4.3 ,2.0 ,65.0 ,77.3 ,1001.9 ,1011.6 ,0.3 ,11.2 ,9.1 ,28.1 ,4428 ,4552 ,3928 ,4362 
2017-07-18,26.5 ,23.9 ,30.7 ,2.5 ,3.5 ,1.6 ,60.0 ,80.6 ,999.5 ,1009.2 ,4.3 ,11.5 ,7.4 ,27.5 ,4362 ,4428 ,4552 ,5447 
2017-07-19,28.3 ,24.5 ,34.1 ,0.0 ,4.6 ,1.8 ,47.0 ,71.4 ,997.1 ,1006.7 ,7.0 ,20.4 ,5.9 ,29.6 ,5447 ,4362 ,4428 ,5155 
2017-07-20,29.9 ,26.0 ,34.9 ,0.0 ,4.8 ,2.2 ,46.0 ,66.1 ,996.6 ,1006.2 ,10.3 ,20.6 ,2.4 ,33.2 ,5155 ,5447 ,4362 ,5492 
2017-07-21,29.8 ,27.3 ,32.4 ,0.0 ,3.9 ,2.5 ,61.0 ,73.1 ,998.2 ,1007.8 ,2.1 ,10.8 ,8.6 ,30.7 ,5492 ,5155 ,5447 ,6136 
2017-07-22,29.3 ,27.5 ,32.5 ,0.5 ,4.0 ,2.3 ,59.0 ,75.8 ,999.1 ,1008.7 ,2.3 ,10.0 ,9.5 ,30.9 ,6136 ,5492 ,5155 ,6299 
2017-07-23,27.0 ,26.1 ,28.1 ,133.5 ,4.1 ,2.1 ,80.0 ,89.5 ,994.9 ,1004.5 ,0.0 ,2.7 ,9.8 ,26.7 ,6299 ,6136 ,5492 ,5717 
2017-07-24,26.2 ,25.6 ,27.3 ,3.0 ,2.7 ,1.2 ,71.0 ,82.3 ,992.9 ,1002.5 ,0.0 ,5.2 ,9.4 ,26.8 ,5717 ,6299 ,6136 ,5957 
2017-07-25,29.4 ,24.6 ,35.4 ,0.0 ,4.6 ,1.9 ,38.0 ,64.1 ,993.9 ,1003.4 ,10.7 ,21.7 ,4.3 ,31.7 ,5957 ,5717 ,6299 ,3849 
2017-07-26,28.7 ,24.2 ,32.8 ,0.0 ,4.8 ,2.7 ,43.0 ,55.6 ,997.6 ,1007.2 ,11.4 ,22.6 ,3.5 ,32.5 ,3849 ,5957 ,5717 ,4511 
2017-07-27,27.1 ,24.9 ,29.7 ,3.5 ,3.6 ,1.9 ,45.0 ,62.5 ,998.2 ,1007.9 ,1.2 ,10.0 ,9.4 ,29.0 ,4511 ,3849 ,5957 ,4474 
2017-07-28,25.5 ,24.8 ,26.9 ,8.5 ,3.1 ,1.5 ,86.0 ,92.1 ,998.0 ,1007.8 ,0.0 ,3.4 ,9.6 ,25.9 ,4474 ,4511 ,3849 ,3590 
2017-07-29,27.2 ,25.0 ,30.1 ,0.0 ,3.9 ,2.3 ,60.0 ,72.3 ,997.6 ,1007.2 ,2.5 ,11.8 ,7.5 ,27.5 ,3590 ,4474 ,4511 ,4027 
2017-07-30,27.9 ,24.7 ,32.6 ,0.0 ,4.2 ,1.9 ,42.0 ,64.4 ,997.2 ,1006.8 ,6.9 ,18.6 ,7.9 ,29.9 ,4027 ,3590 ,4474 ,4723 
2017-07-31,25.7 ,24.8 ,27.1 ,3.5 ,3.5 ,1.4 ,72.0 ,82.3 ,998.9 ,1008.6 ,0.0 ,4.3 ,9.6 ,26.1 ,4723 ,4027 ,3590 ,5016 
2017-08-01,28.6 ,24.1 ,33.0 ,2.0 ,3.3 ,1.7 ,51.0 ,73.0 ,1000.1 ,1009.7 ,8.8 ,18.1 ,7.0 ,29.4 ,5016 ,4723 ,4027 ,3964 
2017-08-02,30.0 ,26.6 ,33.0 ,0.0 ,2.5 ,1.3 ,55.0 ,71.9 ,997.4 ,1006.9 ,3.9 ,12.0 ,5.1 ,30.4 ,3964 ,5016 ,4723 ,4989 
2017-08-03,30.2 ,27.2 ,33.9 ,0.0 ,4.3 ,2.2 ,37.0 ,60.6 ,995.2 ,1004.8 ,10.4 ,21.8 ,5.6 ,32.8 ,4989 ,3964 ,5016 ,3903 
2017-08-04,30.3 ,25.9 ,35.3 ,0.0 ,4.6 ,2.1 ,38.0 ,60.1 ,995.5 ,1005.0 ,11.8 ,22.2 ,6.3 ,34.6 ,3903 ,4989 ,3964 ,3999 
2017-08-05,31.4 ,27.6 ,34.8 ,0.0 ,5.3 ,1.9 ,52.0 ,63.0 ,993.4 ,1002.9 ,9.4 ,16.8 ,4.1 ,35.8 ,3999 ,3903 ,4989 ,3717 
2017-08-06,29.8 ,28.2 ,34.0 ,5.0 ,4.6 ,1.9 ,54.0 ,71.9 ,990.9 ,1000.3 ,3.7 ,12.0 ,6.9 ,32.1 ,3717 ,3999 ,3903 ,3718 
2017-08-07,29.2 ,26.4 ,34.4 ,0.0 ,5.3 ,2.4 ,37.0 ,68.1 ,989.7 ,999.3 ,10.7 ,22.7 ,3.3 ,33.6 ,3718 ,3717 ,3999 ,4362 
2017-08-08,28.2 ,25.5 ,31.0 ,0.0 ,5.0 ,1.9 ,43.0 ,67.1 ,989.8 ,999.4 ,5.6 ,13.5 ,8.0 ,30.5 ,4362 ,3718 ,3717 ,3885 
2017-08-09,27.6 ,24.6 ,32.0 ,2.5 ,4.0 ,2.3 ,42.0 ,66.4 ,988.1 ,997.7 ,4.0 ,14.2 ,9.1 ,32.0 ,3885 ,4362 ,3718 ,4233 
2017-08-10,24.8 ,23.9 ,26.3 ,5.5 ,3.4 ,2.0 ,83.0 ,89.9 ,991.0 ,1000.7 ,0.0 ,6.2 ,9.9 ,27.4 ,4233 ,3885 ,4362 ,3702 
2017-08-11,27.0 ,23.9 ,32.4 ,0.5 ,4.1 ,2.3 ,45.0 ,72.5 ,996.4 ,1006.0 ,7.3 ,15.6 ,5.9 ,29.4 ,3702 ,4233 ,3885 ,3911 
2017-08-12,27.8 ,23.2 ,32.6 ,0.0 ,3.9 ,2.1 ,43.0 ,60.3 ,1000.6 ,1010.2 ,9.6 ,18.4 ,5.6 ,29.2 ,3911 ,3702 ,4233 ,3936 
2017-08-13,26.3 ,24.2 ,28.4 ,0.0 ,5.0 ,2.8 ,53.0 ,62.1 ,1000.4 ,1010.1 ,1.4 ,11.2 ,8.9 ,27.8 ,3936 ,3911 ,3702 ,4018 
2017-08-14,24.6 ,23.1 ,27.1 ,1.5 ,5.7 ,3.6 ,60.0 ,67.5 ,996.2 ,1005.8 ,0.0 ,7.3 ,9.6 ,25.4 ,4018 ,3936 ,3911 ,3627 
2017-08-15,21.9 ,20.8 ,24.0 ,93.5 ,5.5 ,3.6 ,68.0 ,93.8 ,993.2 ,1003.0 ,0.0 ,3.0 ,10.0 ,22.9 ,3627 ,4018 ,3936 ,3615 
2017-08-16,23.3 ,20.5 ,26.8 ,2.0 ,5.1 ,3.7 ,67.0 ,80.5 ,995.5 ,1005.3 ,1.6 ,10.4 ,9.6 ,24.6 ,3615 ,3627 ,4018 ,3351 
2017-08-17,24.8 ,21.2 ,27.7 ,0.5 ,3.9 ,2.1 ,65.0 ,77.1 ,998.0 ,1007.8 ,1.8 ,9.7 ,8.1 ,26.1 ,3351 ,3615 ,3627 ,3658 
2017-08-18,26.3 ,23.9 ,30.6 ,0.0 ,3.7 ,1.3 ,54.0 ,75.6 ,1001.0 ,1010.7 ,5.0 ,12.1 ,8.3 ,26.8 ,3658 ,3351 ,3615 ,3363 
2017-08-19,26.1 ,23.1 ,28.7 ,0.0 ,3.3 ,2.0 ,64.0 ,75.8 ,1001.9 ,1011.6 ,1.2 ,9.8 ,8.1 ,26.9 ,3363 ,3658 ,3351 ,3944 
2017-08-20,23.2 ,22.0 ,25.8 ,124.5 ,4.7 ,2.9 ,79.0 ,95.6 ,998.6 ,1008.3 ,0.0 ,3.5 ,10.0 ,23.8 ,3944 ,3363 ,3658 ,3978 
2017-08-21,25.8 ,23.7 ,29.2 ,5.0 ,5.3 ,2.4 ,65.0 ,81.5 ,997.1 ,1006.7 ,5.2 ,10.7 ,7.6 ,26.9 ,3978 ,3944 ,3363 ,3829 
2017-08-22,27.3 ,23.4 ,31.5 ,0.0 ,3.7 ,1.9 ,49.0 ,70.6 ,1001.9 ,1011.6 ,9.5 ,16.5 ,4.4 ,29.0 ,3829 ,3978 ,3944 ,3847 
2017-08-23,27.2 ,24.6 ,30.2 ,31.5 ,6.2 ,2.6 ,73.0 ,84.1 ,1001.3 ,1011.0 ,2.4 ,8.2 ,9.4 ,27.4 ,3847 ,3829 ,3978 ,3702 
2017-08-24,26.5 ,23.9 ,28.1 ,14.0 ,7.7 ,4.0 ,79.0 ,85.3 ,996.0 ,1005.6 ,0.8 ,3.6 ,7.9 ,25.7 ,3702 ,3847 ,3829 ,3662 
2017-08-25,25.3 ,22.2 ,30.6 ,0.0 ,5.0 ,1.7 ,19.0 ,61.9 ,998.6 ,1008.3 ,8.5 ,20.2 ,6.0 ,25.7 ,3662 ,3702 ,3847 ,3156 
2017-08-26,24.2 ,19.0 ,29.2 ,0.0 ,4.9 ,2.0 ,24.0 ,54.5 ,1003.8 ,1013.6 ,12.5 ,24.4 ,1.9 ,27.3 ,3156 ,3662 ,3702 ,4089 
2017-08-27,22.7 ,19.0 ,26.7 ,0.0 ,2.6 ,1.4 ,44.0 ,62.0 ,1005.0 ,1014.9 ,3.3 ,10.3 ,8.3 ,24.8 ,4089 ,3156 ,3662 ,3381 
2017-08-28,21.5 ,18.3 ,26.5 ,9.0 ,4.4 ,1.5 ,35.0 ,73.1 ,1001.5 ,1011.3 ,1.3 ,6.8 ,9.1 ,22.6 ,3381 ,4089 ,3156 ,2979 
2017-08-29,19.5 ,17.0 ,24.0 ,0.0 ,5.3 ,3.2 ,32.0 ,51.4 ,1004.3 ,1014.3 ,11.3 ,21.1 ,6.5 ,22.8 ,2979 ,3381 ,4089 ,2347 
2017-08-30,19.8 ,16.1 ,23.9 ,0.0 ,4.5 ,1.5 ,33.0 ,55.8 ,1003.9 ,1013.9 ,3.4 ,9.6 ,7.1 ,19.7 ,2347 ,2979 ,3381 ,3011 
2017-08-31,22.2 ,16.6 ,27.6 ,0.0 ,4.1 ,1.6 ,33.0 ,62.4 ,1002.2 ,1012.1 ,11.8 ,19.2 ,0.9 ,24.3 ,3011 ,2347 ,2979 ,2853 
2017-09-01,23.3 ,17.1 ,29.7 ,0.0 ,4.4 ,2.2 ,31.0 ,56.0 ,1002.6 ,1012.5 ,12.4 ,22.7 ,0.4 ,26.6 ,2853 ,3011 ,2347 ,3435 
2017-09-02,23.8 ,18.6 ,29.6 ,0.0 ,4.2 ,1.8 ,33.0 ,59.0 ,1002.6 ,1012.4 ,10.7 ,19.7 ,2.9 ,27.2 ,3435 ,2853 ,3011 ,2928 
2017-09-03,23.7 ,19.0 ,29.2 ,0.0 ,3.3 ,1.6 ,36.0 ,64.0 ,1004.8 ,1014.7 ,8.5 ,15.9 ,3.0 ,25.6 ,2928 ,3435 ,2853 ,3160 
2017-09-04,24.6 ,19.7 ,30.1 ,0.0 ,3.2 ,1.6 ,28.0 ,53.8 ,1005.2 ,1015.0 ,8.8 ,17.9 ,6.1 ,28.6 ,3160 ,2928 ,3435 ,3549 
2017-09-05,21.9 ,20.4 ,23.7 ,0.0 ,3.3 ,1.7 ,51.0 ,62.4 ,1001.8 ,1011.7 ,0.0 ,5.4 ,8.8 ,22.6 ,3549 ,3160 ,2928 ,3307 
2017-09-06,20.6 ,18.5 ,24.0 ,2.0 ,2.8 ,1.2 ,61.0 ,75.5 ,998.6 ,1008.5 ,0.0 ,6.1 ,9.6 ,21.5 ,3307 ,3549 ,3160 ,2985 
2017-09-07,22.4 ,17.8 ,27.5 ,0.0 ,3.7 ,1.4 ,52.0 ,73.3 ,997.9 ,1007.7 ,7.6 ,14.0 ,5.6 ,24.3 ,2985 ,3307 ,3549 ,2874 
2017-09-08,24.3 ,20.4 ,29.9 ,0.0 ,3.9 ,1.7 ,30.0 ,67.5 ,1001.4 ,1011.2 ,9.7 ,19.8 ,3.8 ,27.6 ,2874 ,2985 ,3307 ,3519 
2017-09-09,23.8 ,19.2 ,28.2 ,0.0 ,3.6 ,1.4 ,43.0 ,70.1 ,1003.2 ,1013.0 ,11.1 ,16.7 ,2.8 ,26.5 ,3519 ,2874 ,2985 ,3789 
2017-09-10,23.0 ,19.9 ,26.1 ,0.5 ,2.7 ,1.4 ,56.0 ,74.3 ,1003.4 ,1013.3 ,0.0 ,7.3 ,9.3 ,24.3 ,3789 ,3519 ,2874 ,3774 
2017-09-11,21.2 ,18.6 ,24.6 ,24.0 ,3.9 ,1.7 ,59.0 ,79.8 ,997.7 ,1007.5 ,1.9 ,8.2 ,7.6 ,22.6 ,3774 ,3789 ,3519 ,3365 
2017-09-12,22.1 ,17.7 ,27.9 ,0.0 ,4.8 ,1.9 ,29.0 ,58.6 ,1003.6 ,1013.5 ,11.6 ,19.1 ,0.6 ,23.3 ,3365 ,3774 ,3789 ,3546 
2017-09-13,21.4 ,15.9 ,27.5 ,0.0 ,4.2 ,1.9 ,30.0 ,49.3 ,1008.4 ,1018.4 ,11.9 ,21.6 ,0.0 ,23.0 ,3546 ,3365 ,3774 ,4284 
2017-09-14,22.4 ,14.8 ,29.5 ,0.0 ,3.2 ,1.7 ,28.0 ,48.8 ,1009.3 ,1019.2 ,11.5 ,20.6 ,1.5 ,23.9 ,4284 ,3546 ,3365 ,3709 
2017-09-15,22.6 ,17.8 ,27.9 ,0.0 ,5.9 ,3.6 ,33.0 ,48.4 ,1009.0 ,1018.9 ,11.3 ,19.0 ,3.9 ,25.0 ,3709 ,4284 ,3546 ,3811 
2017-09-16,22.0 ,16.7 ,27.6 ,0.0 ,5.7 ,3.6 ,39.0 ,50.9 ,1004.5 ,1014.4 ,11.0 ,20.2 ,3.1 ,25.2 ,3811 ,3709 ,4284 ,3255 
2017-09-17,23.1 ,19.0 ,29.2 ,0.0 ,5.0 ,2.7 ,34.0 ,51.3 ,997.6 ,1007.4 ,10.0 ,19.0 ,3.5 ,26.7 ,3255 ,3811 ,3709 ,3308 
2017-09-18,21.9 ,16.4 ,27.6 ,0.0 ,4.7 ,2.1 ,36.0 ,62.8 ,998.3 ,1008.2 ,11.4 ,19.0 ,1.8 ,25.8 ,3308 ,3255 ,3811 ,3478 
2017-09-19,22.6 ,20.1 ,25.8 ,8.0 ,6.8 ,3.0 ,66.0 ,79.1 ,998.8 ,1008.6 ,2.1 ,7.3 ,7.9 ,24.6 ,3478 ,3308 ,3255 ,3572 
2017-09-20,19.5 ,14.1 ,24.9 ,0.0 ,5.0 ,2.4 ,29.0 ,48.9 ,1002.4 ,1012.4 ,11.6 ,20.7 ,0.8 ,20.3 ,3572 ,3478 ,3308 ,3330 
2017-09-21,20.3 ,14.2 ,27.0 ,0.0 ,3.0 ,1.6 ,29.0 ,57.3 ,1004.0 ,1013.9 ,11.5 ,19.4 ,0.5 ,21.7 ,3330 ,3572 ,3478 ,3217 
2017-09-22,20.6 ,15.4 ,26.8 ,0.0 ,4.4 ,2.1 ,34.0 ,60.8 ,1003.0 ,1012.9 ,11.0 ,16.7 ,3.5 ,22.1 ,3217 ,3330 ,3572 ,3379 
